Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
130,2024-01-06 10:00:00,28.7,12.0,1,30.0,59.0,171.0,760.0,0
131,2024-01-06 11:00:00,30.5,1.0,1,31.0,57.0,178.0,759.0,0
132,2024-01-06 12:00:00,20.2,1.0,1,31.0,59.0,194.0,759.0,0
133,2024-01-06 13:00:00,21.1,13.0,1,31.0,58.0,180.0,758.0,0
134,2024-01-06 14:00:00,18.8,1.0,1,31.0,58.0,170.0,757.0,0
135,2024-01-06 15:00:00,22.4,11.03867403314917,1,31.0,57.0,202.0,757.0,0
136,2024-01-06 16:00:00,20.7,7.0,1,31.0,61.0,168.0,757.0,0
137,2024-01-06 17:00:00,17.8,4.0,1,29.0,65.0,145.0,758.0,0
138,2024-01-06 18:00:00,16.7,4.0,1,29.0,70.0,147.0,758.0,0
139,2024-01-06 19:00:00,17.8,6.0,1,28.0,73.0,148.0,759.0,0
140,2024-01-06 20:00:00,20.7,2.0,1,28.0,75.0,121.0,759.0,0
141,2024-01-06 21:00:00,15.9,20.0,1,28.0,75.0,114.0,760.0,0
142,2024-01-06 22:00:00,13.8,26.0,1,28.0,76.0,111.0,760.0,0
143,2024-01-06 23:00:00,17.2,27.0,1,28.0,81.0,113.0,760.0,0
144,2024-01-07 00:00:00,19.2,31.0,1,27.0,83.0,113.0,759.0,0
145,2024-01-07 01:00:00,20.9,28.0,1,26.0,89.0,127.0,759.0,7
146,2024-01-07 02:00:00,19.3,17.0,1,25.0,93.0,100.0,759.0,1
147,2024-01-07 03:00:00,13.7,6.0,1,25.0,95.0,91.0,758.0,3
148,2024-01-07 04:00:00,11.8,8.0,1,25.0,96.0,92.0,758.0,6
149,2024-01-07 05:00:00,14.1,0.0,1,25.0,97.0,106.0,759.0,3
150,2024-01-07 06:00:00,13.1,3.0,1,25.0,96.0,122.0,759.0,2
151,2024-01-07 07:00:00,16.6,9.0,1,26.0,94.0,120.0,759.0,0
152,2024-01-07 08:00:00,17.2,17.0,0,26.0,93.0,123.0,760.0,5
153,2024-01-07 09:00:00,18.2,23.0,1,27.0,87.0,234.0,760.0,1
154,2024-01-07 10:00:00,16.4,11.03867403314917,1,28.0,78.0,231.0,760.0,0
155,2024-01-07 11:00:00,19.1,2.0,1,30.0,69.0,227.0,760.0,0
156,2024-01-07 12:00:00,16.8,2.0,1,30.0,65.0,218.0,759.0,0
157,2024-01-07 13:00:00,17.7,2.0,2,28.0,79.0,228.0,758.0,4
158,2024-01-07 14:00:00,21.3,9.0,1,28.0,78.0,212.0,758.0,0
159,2024-01-07 15:00:00,19.6,3.0,1,30.0,67.0,237.0,758.0,0
160,2024-01-07 16:00:00,16.7,11.03867403314917,1,29.0,69.0,230.0,758.0,0
161,2024-01-07 17:00:00,16.3,0.0,1,28.0,72.0,190.0,758.0,0
162,2024-01-07 18:00:00,15.9,1.0,1,28.0,74.0,162.0,758.0,0
163,2024-01-07 19:00:00,20.7,19.0,1,28.0,74.0,163.0,759.0,0
164,2024-01-07 20:00:00,14.0,8.0,1,28.0,75.0,176.0,759.0,0
165,2024-01-07 21:00:00,13.5,14.0,1,28.0,77.0,131.0,760.0,0
166,2024-01-07 22:00:00,15.7,0.0,1,27.0,79.0,116.0,760.0,0
167,2024-01-07 23:00:00,11.9,0.0,1,27.0,82.0,117.0,759.0,0
168,2024-01-08 00:00:00,13.9,1.0,1,27.0,83.0,113.0,759.0,0
169,2024-01-08 01:00:00,15.7,15.0,1,27.0,83.0,103.0,759.0,0
170,2024-01-08 02:00:00,10.3,22.0,1,27.0,84.0,103.0,758.0,0
171,2024-01-08 03:00:00,16.5,0.0,1,27.0,84.0,98.0,758.0,0
172,2024-01-08 04:00:00,11.2,1.0,1,27.0,84.0,106.0,758.0,0
173,2024-01-08 05:00:00,19.4,0.0,1,26.0,86.0,108.0,758.0,0
174,2024-01-08 06:00:00,14.6,1.0,1,27.0,85.0,115.0,758.0,0
175,2024-01-08 07:00:00,14.2,13.0,1,27.0,83.0,113.0,759.0,0
176,2024-01-08 08:00:00,13.1,9.0,1,27.0,85.0,110.0,760.0,0
177,2024-01-08 09:00:00,16.8,1.0,1,28.0,78.0,115.0,760.0,0
178,2024-01-08 10:00:00,14.1,0.0,1,29.0,75.0,155.0,759.0,0
179,2024-01-08 11:00:00,18.256555423122766,0.0,1,30.0,68.0,166.0,759.0,0
180,2024-01-08 12:00:00,16.5,4.0,1,30.0,65.0,211.0,759.0,0
181,2024-01-08 13:00:00,13.8,5.0,1,31.0,65.0,201.0,758.0,0
182,2024-01-08 14:00:00,16.2,2.0,1,31.0,62.0,214.0,758.0,0
183,2024-01-08 15:00:00,16.9,0.0,1,31.0,63.0,182.0,757.0,0
184,2024-01-08 16:00:00,14.6,0.0,1,30.0,67.0,190.0,758.0,0
185,2024-01-08 17:00:00,15.5,11.03867403314917,1,29.0,72.0,178.0,758.0,0
186,2024-01-08 18:00:00,16.7,6.0,1,28.0,79.0,188.0,758.0,0
187,2024-01-08 19:00:00,14.5,5.0,1,28.0,78.0,173.0,759.0,0
188,2024-01-08 20:00:00,15.2,1.0,1,28.0,78.0,170.0,759.0,0
189,2024-01-08 21:00:00,13.3,1.0,1,28.0,78.0,181.0,759.0,0
190,2024-01-08 22:00:00,15.9,0.0,1,27.0,79.0,133.0,759.0,0
191,2024-01-08 23:00:00,11.2,0.0,1,27.0,80.0,120.0,759.0,0
192,2024-01-09 00:00:00,13.2,2.0,1,27.0,81.0,115.0,759.0,0
193,2024-01-09 01:00:00,13.5,14.0,1,27.0,81.0,106.0,758.0,0
194,2024-01-09 02:00:00,14.9,11.0,1,27.0,82.0,109.0,758.0,0
195,2024-01-09 03:00:00,13.8,1.0,1,27.0,80.0,112.0,758.0,0
196,2024-01-09 04:00:00,13.3,1.0,1,26.0,82.0,110.0,758.0,0
197,2024-01-09 05:00:00,14.9,3.0,1,27.0,82.0,112.0,758.0,0
198,2024-01-09 06:00:00,11.7,0.0,1,26.0,87.0,109.0,758.0,0
199,2024-01-09 07:00:00,18.0,4.0,1,26.0,90.0,111.0,759.0,0
200,2024-01-09 08:00:00,20.4,6.0,1,28.0,79.0,154.0,759.0,0
201,2024-01-09 09:00:00,12.6,21.0,1,29.0,74.0,195.0,759.0,0
202,2024-01-09 10:00:00,9.9,22.0,1,30.0,68.0,134.0,759.0,0
203,2024-01-09 11:00:00,13.9,22.0,1,31.0,63.0,164.0,759.0,0
204,2024-01-09 12:00:00,19.5,0.0,1,31.0,64.0,149.0,758.0,0
205,2024-01-09 13:00:00,17.5,1.0,1,31.0,64.0,198.0,757.0,0
206,2024-01-09 14:00:00,11.7,8.0,1,30.0,65.0,182.0,757.0,0
207,2024-01-09 15:00:00,12.5,1.0,1,31.0,64.0,166.0,757.0,0
208,2024-01-09 16:00:00,12.8,0.0,2,30.0,69.0,133.0,757.0,0
209,2024-01-09 17:00:00,14.7,4.0,2,29.0,71.0,133.0,757.0,0
210,2024-01-09 18:00:00,15.7,11.03867403314917,1,29.0,75.0,124.0,758.0,0
211,2024-01-09 19:00:00,18.6,8.0,1,28.0,77.0,120.0,758.0,0
212,2024-01-09 20:00:00,17.8,6.0,1,28.0,80.0,110.0,759.0,0
213,2024-01-09 21:00:00,13.2,14.0,1,28.0,82.0,109.0,759.0,0
214,2024-01-09 22:00:00,15.5,22.0,1,28.0,79.0,129.0,759.0,0
215,2024-01-09 23:00:00,11.0,16.0,2,28.0,78.0,128.0,759.0,0
216,2024-01-10 00:00:00,20.3,3.0,1,28.0,79.0,122.0,758.0,0
217,2024-01-10 01:00:00,13.7,12.0,1,27.0,79.0,123.0,758.0,0
218,2024-01-10 02:00:00,15.7,1.0,1,27.0,80.0,116.0,757.0,0
219,2024-01-10 03:00:00,12.4,0.0,1,27.0,84.0,109.0,757.0,0
220,2024-01-10 04:00:00,13.9,0.0,1,26.0,87.0,107.0,757.0,0
221,2024-01-10 05:00:00,13.7,0.0,1,26.0,89.0,107.0,757.0,0
