,DATETIMEDATA,PREDICTION_PM25
2024-03-12 18:00:00,2024-03-13 18:00:00,17.39913315001846
2024-03-12 19:00:00,2024-03-13 19:00:00,19.167207982580386
2024-03-12 20:00:00,2024-03-13 20:00:00,19.670780619774533
2024-03-12 21:00:00,2024-03-13 21:00:00,19.181573165881286
2024-03-12 22:00:00,2024-03-13 22:00:00,19.317326190222147
2024-03-12 23:00:00,2024-03-13 23:00:00,17.548967353956133
2024-03-13 00:00:00,2024-03-14 00:00:00,17.640009292850092
2024-03-13 01:00:00,2024-03-14 01:00:00,17.55057765949449
2024-03-13 02:00:00,2024-03-14 02:00:00,17.59745119926732
2024-03-13 03:00:00,2024-03-14 03:00:00,16.57282598337929
2024-03-13 04:00:00,2024-03-14 04:00:00,17.449830383709084
2024-03-13 05:00:00,2024-03-14 05:00:00,19.323626975378158
2024-03-13 06:00:00,2024-03-14 06:00:00,20.381222452311214
2024-03-13 07:00:00,2024-03-14 07:00:00,21.55562492984377
2024-03-13 08:00:00,2024-03-14 08:00:00,22.26435708117415
2024-03-13 09:00:00,2024-03-14 09:00:00,19.83327644693927
2024-03-13 10:00:00,2024-03-14 10:00:00,18.663112691695893
2024-03-13 11:00:00,2024-03-14 11:00:00,18.04091834637065
2024-03-13 12:00:00,2024-03-14 12:00:00,16.609215680752932
2024-03-13 13:00:00,2024-03-14 13:00:00,15.980883881360105
2024-03-13 14:00:00,2024-03-14 14:00:00,15.24127734465001
2024-03-13 15:00:00,2024-03-14 15:00:00,15.914128087111214
2024-03-13 16:00:00,2024-03-14 16:00:00,15.936083975499315
2024-03-13 17:00:00,2024-03-14 17:00:00,16.843079614036245
2024-03-13 18:00:00,2024-03-14 18:00:00,17.22700162001511
2024-03-13 19:00:00,2024-03-14 19:00:00,18.951410632952843
2024-03-13 20:00:00,2024-03-14 20:00:00,19.54256568922562
2024-03-13 21:00:00,2024-03-14 21:00:00,19.117340873889223
2024-03-13 22:00:00,2024-03-14 22:00:00,19.323324468127083
2024-03-13 23:00:00,2024-03-14 23:00:00,17.49082622204572
2024-03-14 00:00:00,2024-03-15 00:00:00,17.647002458320596
2024-03-14 01:00:00,2024-03-15 01:00:00,17.532205644384632
2024-03-14 02:00:00,2024-03-15 02:00:00,17.570818994208025
2024-03-14 03:00:00,2024-03-15 03:00:00,16.547744937801045
2024-03-14 04:00:00,2024-03-15 04:00:00,17.500690669133107
